Name,Address,Suburb,Postcode,Phone,Email Address,Fax,LHD,Hospital Website,ED,Latitude,Longitude
Albury Wodonga Health,201 Borella Road,Albury,2640,02 6058 4444,,NULL,Albury Wodonga Health,,No emergency department,-36.0772229,146.9385231
Armidale Rural Referral Hospital,Rusden Street,Armidale,2350,02 6776 9500,,02 6776 4774,Hunter New England Local Health District,,Reporting wait times,-30.5134001,151.6608946
Auburn Hospital & Community Health Services,Hargrave Road,Auburn,2144,02 8759 3000,,02 9563 9666,Western Sydney Local Health District,,Reporting wait times,-33.8593379,151.0326842
Ballina District Hospital,Cherry Street,Ballina,2478,02 6686 2111,,02 6686 6731,Northern NSW Local Health District,,Not reporting wait times,-28.863404,153.5654305
Balmain Hospital,29 Booth Street,Balmain,2041,02 9395 2111,,02 9395 2020,Sydney Local Health District,,No emergency department,-33.8594806,151.1815098
Balranald District Hospital,Market Street,Balranald,2715,03 5020 1606,,03 5020 1499,Far West Local Health District,,Not reporting wait times,-34.6367895,143.559452
Bankstown Lidcombe Hospital,Eldridge Road,Bankstown,2200,02 9722 8000,,02 9722 8570,South Western Sydney Local Health District,,Reporting wait times,-33.931939,151.0195846
Baradine Multi-Purpose Service,Cnr Darling and Macquarie Street,Baradine,2396,02 6843 4100,,02 6843 1535,Western NSW Local Health District,,Not reporting wait times,-30.94551,149.0654626
Baradine Residential Aged Care,Corner of Darling and Macquarie Street,Baradine,2396,02 6843 1909,,NULL,Western NSW Local Health District,,No emergency department,-30.94551,149.0654626
Barham Koondrook Soldiers Memorial Hospital,Punt Road,Barham,2732,03 5451 1000,,03 5453 2656,Murrumbidgee Local Health District,,Not reporting wait times,-35.6286769,144.1331715
Barraba Multi Purpose Service,Edward Street,Barraba,2347,02 6782 2500,,02 6782 1808,Hunter New England Local Health District,,Not reporting wait times,-30.3820674,150.6067312
Barraba Residential Aged Care,Edward Street,Barraba,2347,02 6782 2507,,NULL,Hunter New England Local Health District,,No emergency department,-30.3820674,150.6067312
Bateman's Bay District Hospital,7 Pacific Street,Batemans Bay,2536,02 4475 1500,,02 4472 0678,Southern NSW Local Health District,,Not reporting wait times,-35.7137855,150.1821776
